Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Second_Genre,Third_Genre,Poster-src,Duration (minutes)
The Care Bears Movie,Arna Selznick,Georgia Engel,1985,5.6,46.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMmUwNTgzMzAtMmQ5Yi00ZmE2LTkxNjMtNGFjZTA4NjI2MmQyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,9,190,281_.jpg",77.0
DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,Alan Young,1990,6.8,57.1,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMGY1NjdiMmItMmE5MS00NjllLWJmM2ItMmU1ZTRjMWYyZjc4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_QL75_UX190_CR0,9,190,281_.jpg",74.0
Noelle,Marc Lawrence,Anna Kendrick,2019,6.3,48.0,G,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BMjM2MTIxYTAtYWM3MC00OWI4LWJmMjMtYzBhMWFlMzU0NTdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
The Dirt Bike Kid,Hoite C. Caston,Peter Billingsley,1985,5.3,57.1,PG,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BNmVjNWEzNjUtOThkMS00ZGYzLWI0OGUtZmE2OTZlMDY3MTQxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg",90.0
A Family Affair,George B. Seitz,Lionel Barrymore,1937,6.6,57.1,Approved,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMzBiODc0YWUtY2E4Yi00MzYzLTgyNzctMzkzNDRhNDljNzRiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,6,190,281_.jpg",69.0
Mune: Guardian of the Moon,Alexandre Heboyan,Omar Sy,2014,7.1,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BODVhZjEwZjgtMjdlZC00NzczLWJmNWMtMzNlMDI1YzU5ODMzXkEyXkFqcGdeQXVyMjY4MDM2OTU@._V1_QL75_UY281_CR9,0,190,281_.jpg",85.0
Shin Jigen! Crayon Shin-chan the Movie,Hitoshi Ône,Yumiko Kobayashi,2023,6.5,57.1,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BMjA5Yjg1YTQtYzA5ZS00ZWNjLTkwNjYtOTE5MzQwZDM4YmIwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR5,0,190,281_.jpg",100.0
Dr. Dolittle 2,Steve Carr,Eddie Murphy,2001,4.7,49.0,PG,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BYTZhMWZkYjgtNjE5MS00OWY4LWFmMWQtMDc4M2RlMjg4Y2NhXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",87.0
Return to Never Land,Robin Budd,Blayne Weaver,2002,5.8,49.0,G,Animation,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BYWMwMWQ5NWQtYTA1YS00OTQ5LWExZmItNGI5MzIyMWRhNDA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",72.0
Doraemon Nobita no Takarajima,Kazuaki Imai,Wasabi Mizuta,2018,6.6,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMDc0MjI0OGMtYTg1ZC00NDE1LTgzMzktNWIwY2RmYzJjNWE3XkEyXkFqcGdeQXVyMjUxNjcxMjU@._V1_QL75_UY281_CR4,0,190,281_.jpg",100.0
Christmas on Cherry Lane,Gail Harvey,Catherine Bell,2023,6.1,57.1,TV-G,Family,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BZGIzZWEyOWMtZTNhYy00ZTM4LWFkNzItN2RlOTY4NzhkZTQ3XkEyXkFqcGdeQXVyMzkyODcyMzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0
Diary of a Wimpy Kid,Gino Nichele,Cyrus Arnold,2021,5.1,50.0,PG,Animation,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BZDYyMjI1OWQtYjhmMS00MmU4LWI1N2UtNzFlZGQ0MDE2ODEwXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_QL75_UY281_CR18,0,190,281_.jpg",59.0
Biggles: Adventures in Time,John Hough,Neil Dickson,1986,5.6,57.1,PG,Adventure,Family,Sci-Fi,"https://m.media-amazon.com/images/M/MV5BZWFkNTRlNzUtMDQ3ZC00MGJmLTkyYTEtNTEyZTE4N2RmODY3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR3,0,190,281_.jpg",108.0
Early Man,Nick Park,Eddie Redmayne,2018,6.1,68.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX190_CR0,4,190,281_.jpg",89.0
The Confirmation,Bob Nelson,Clive Owen,2016,6.4,65.0,PG-13,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BODkyODM0MTUtYjI3NS00MDIyLWE4ZTUtNGNhOTYwYTNlODZiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",101.0
Tad: The Lost Explorer,Enrique Gato,Óscar Barberán,2012,5.9,57.1,TV-PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNDE2MDUyMzYtNzZmOC00NmIyLWFiMjctNjVmZmY0NjQwY2NlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR6,0,190,281_.jpg",92.0
Alaska,Fraser C. Heston,Thora Birch,1996,5.7,57.1,PG,Adventure,Drama,Family,"https://m.media-amazon.com/images/M/MV5BN2Y5OGE3OGMtMWQwMi00ODMxLTllZDMtMTk4NGFiYjA0NmI4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0
The Three Caballeros,Norman Ferguson,Aurora Miranda,1944,6.3,85.0,G,Animation,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BNTYzMmFmNjYtYzJmMy00ZGViLTlkNjItYjMwYzA3ZjRkZTBkXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_QL75_UX190_CR0,6,190,281_.jpg",71.0
Tom Sawyer,Don Taylor,Johnny Whitaker,1973,6.4,57.1,G,Adventure,Musical,Family,"https://m.media-amazon.com/images/M/MV5BY2E1MWIyMTMtNzQ3MS00YWEyLWE3YWUtNmRlNDU0MDEyNGEzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,4,190,281_.jpg",103.0
FairyTale: A True Story,Charles Sturridge,Paul McGann,1997,6.5,57.1,PG,Drama,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BN2Y5NWUwZDgtOWNjNi00NzZlLWIzNWYtM2U2ZjMyM2MzODBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UY281_CR1,0,190,281_.jpg",99.0
Pee-wee's Big Holiday,John Lee,Paul Reubens,2016,6.1,63.0,TV-PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BMjIyODA1MzYyM15BMl5BanBnXkFtZTgwMjQxODYyODE@._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0
Arthur and the Revenge of Maltazard,Luc Besson,Freddie Highmore,2009,5.2,57.1,PG,Animation,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BN2IwMThmMWEtZmVmMC00ZGI4LTlmYWEtNzRiZmMyOTc0ZmQ4XkEyXkFqcGdeQXVyNjA5ODQxMDI@._V1_QL75_UY281_CR11,0,190,281_.jpg",107.0
Jug Jugg Jeeyo,Raj Mehta,Varun Dhawan,2022,6.1,57.1,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMTg5YjlkZmItZWZjOC00ZWQ5LTk2MjctYmI2ZGYzODY0N2ZmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR11,0,190,281_.jpg",100.0
Shorts,Robert Rodriguez,Jimmy Bennett,2009,4.7,53.0,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMTM0MDUyMzk1Ml5BMl5BanBnXkFtZTcwMjczMDU2Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",89.0
The Incredible Mr. Limpet,Arthur Lubin,Don Knotts,1964,6.5,57.1,G,Animation,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMWRkMGFkMWItMDlkNS00MjFkLTkwYzctNWI3MzY1MjE0ZWIwXkEyXkFqcGdeQXVyNzE2NDk3NTY@._V1_QL75_UX190_CR0,5,190,281_.jpg",99.0
Getting Even with Dad,Howard Deutch,Macaulay Culkin,1994,4.9,31.0,PG,Comedy,Crime,Family,"https://m.media-amazon.com/images/M/MV5BM2QzZjAxNjUtYTRlNC00ZWZjLTg4NTctMzM0MmI4YmIyOWExXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,5,190,281_.jpg",109.0
Batman,Lambert Hillyer,Lewis Wilson,1943,6.1,57.1,Approved,Action,Crime,Family,"https://m.media-amazon.com/images/M/MV5BYzQ0ZGViZTUtZmUzMi00YjkwLTg2ZWUtNjk0ZDg0NzE2OTQ3XkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg",260.0
Lassie,Daniel Petrie,Helen Slater,1994,5.8,57.1,PG,Family,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BMGMyZjAzZGItY2ZkZi00Y2YwLTk4M2QtNTRmNWEzYjU1NDVlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_QL75_UY281_CR1,0,190,281_.jpg",94.0
Extinct,David Silverman,Adam Devine,2021,5.5,57.1,TV-Y7,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BZjAzMDIxZDItNTRiMC00MWM4LTkwOTMtMTljZmQxNDdhMmE0XkEyXkFqcGdeQXVyMTI2ODM1ODUw._V1_QL75_UX190_CR0,0,190,281_.jpg",84.0
The Peanut Butter Solution,Michael Rubbo,Mathew Mackay,1985,6.0,57.1,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BYmQ2NTNjNDMtMDE5Zi00NWFmLTkxZGQtYWM2ZTI4ZTk0NjNlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,9,190,281_.jpg",93.0
The Muppet Christmas Carol,Brian Henson,Michael Caine,1992,7.8,64.0,G,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BN2Y0NWRkNWItZWEwNi00MDNlLWJmZDYtNTkwYzI5Nzg4MjVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR0,0,190,281_.jpg",85.0
Fireheart,Theodore Ty,Alice Pol,2022,6.2,57.1,TV-PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMGM5ZTFmYWQtMGRiOS00YzI1LTkyMzAtNGIzNWFjZmFlYTFhXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UX190_CR0,0,190,281_.jpg",92.0
The Princess Switch,Mike Rohl,Vanessa Hudgens,2018,6.1,57.1,TV-PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMTYyMjYxMjEzOF5BMl5BanBnXkFtZTgwMjAwNDE3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",101.0
Racing Stripes,Frederik Du Chau,Frankie Muniz,2005,5.2,43.0,PG,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BMjE0NDA2MTQwM15BMl5BanBnXkFtZTcwMzYxNDcyMQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg",102.0
The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,Helena Bonham Carter,2013,7.0,53.0,PG,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BMTk3MDU1MTc5Ml5BMl5BanBnXkFtZTgwNzk2NDY2NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",105.0
Bigfoot Family,Jérémie Degruson,Jules Medcraft,2020,5.8,57.1,TV-Y7,Animation,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BMjNkYjUzODItNGM3ZS00Y2JjLWI2OTUtZjZmYjkzZTQzMTdmXkEyXkFqcGdeQXVyNjYxNzY5MjE@._V1_QL75_UY281_CR11,0,190,281_.jpg",89.0
Heidi,Alain Gsponer,Anuk Steffen,2015,7.4,57.1,PG,Drama,Family,Family,"https://m.media-amazon.com/images/M/MV5BNjI4ODQ0NTk1MF5BMl5BanBnXkFtZTgwMTg4NDM1NzE@._V1_QL75_UY281_CR4,0,190,281_.jpg",100.0
Doctor Dolittle,Richard Fleischer,Rex Harrison,1967,6.1,34.0,G,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMjMxOTM3NzU4M15BMl5BanBnXkFtZTgwNDU0MDUxMDE@._V1_QL75_UY281_CR3,0,190,281_.jpg",152.0
Think Like a Dog,Gil Junger,Megan Fox,2020,5.2,57.1,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMGNhNzk4YzMtYmQ4Ni00ZjU0LWI0YzctYjM1ZDMxNzM3MDAzXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UY281_CR5,0,190,281_.jpg",91.0
The Jungle Book 2,Steve Trenbirth,John Goodman,2003,5.3,38.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNDk2NTk1NzQxN15BMl5BanBnXkFtZTYwMDMyMTg5._V1_QL75_UX190_CR0,1,190,281_.jpg",72.0
The Diary of Anne Frank,George Stevens,Millie Perkins,1959,7.4,59.0,Approved,Biography,Drama,Family,"https://m.media-amazon.com/images/M/MV5BZWZkOThjMjQtNGRlOS00YWNlLWFhNDEtYjlmMmIxMDZmN2U2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg",180.0
Nine Lives,Barry Sonnenfeld,Kevin Spacey,2016,5.3,11.0,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMzEzMjkwMjc3NV5BMl5BanBnXkFtZTgwMzc0NjY5ODE@._V1_QL75_UX190_CR0,0,190,281_.jpg",87.0
Mio in the Land of Faraway,Vladimir Grammatikov,Nick Pickard,1987,6.3,57.1,PG,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BZWExNjUxYzgtYTVkMC00NTgzLWEyYWYtMjA3ZWFlYzBhOWMzXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_QL75_UX190_CR0,11,190,281_.jpg",99.0
Raksha Bandhan,Aanand L. Rai,Akshay Kumar,2022,5.4,57.1,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNGVhNTQzNDgtZTE3ZS00NmY4LWE0NzktMWI5ODAyOTBjMTk5XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UY281_CR18,0,190,281_.jpg",100.0
Spirit Halloween,David Poag,Donovan Colan,2022,4.6,48.0,TV-14,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BYTg1MjcxMGMtNGQzZS00MDdmLWFiMGQtNDM4MmQ5YzMwNDIwXkEyXkFqcGdeQXVyMTI1NjI4NjY1._V1_QL75_UY281_CR22,0,190,281_.jpg",87.0
Lost & Found,Joseph Itaya,Justin Kelly,2016,5.4,57.1,PG,Adventure,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMTU0NTY0NjM1MF5BMl5BanBnXkFtZTgwOTk0Mjg0MDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0
Nightbooks,David Yarovesky,Winslow Fegley,2021,5.8,65.0,TV-PG,Family,Fantasy,Horror,"https://m.media-amazon.com/images/M/MV5BY2E4MmNmMzgtOTI2YS00MzhjLTlmOWItZTkxNWRkYTY2NDcwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX190_CR0,0,190,281_.jpg",103.0
The Trouble with Angels,Ida Lupino,Rosalind Russell,1966,7.3,57.1,PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BOWUxM2Y5OTMtYmVmOS00NTA3LTk0OTYtZGFkOTIyODc2Mzk2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg",112.0
The Apple Dumpling Gang,Norman Tokar,Bill Bixby,1975,6.4,59.0,G,Comedy,Family,Western,"https://m.media-amazon.com/images/M/MV5BZTc5NDk1NDgtMThmYy00MWViLTk2ZjUtNTQyMDI1MDI0MDRjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,4,190,281_.jpg",100.0
Arthur Christmas,Sarah Smith,James McAvoy,2011,7.1,69.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNTczMjMwMTE2OV5BMl5BanBnXkFtZTcwNDU0NTAwNw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",97.0
Dedh Bigha Zameen,Pulkit,Prasanna Bisht,2024,7.0,57.1,PG,Drama,Family,Family,"https://m.media-amazon.com/images/M/MV5BNWE4MWZiZDEtMmQyNC00NWE3LTg4MTEtMzA1NWQ2MDFmN2IyXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_QL75_UY281_CR17,0,190,281_.jpg",100.0
The Red Turtle,Michael Dudok de Wit,Emmanuel Garijo,2016,7.5,86.0,PG,Animation,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNGZlYzFhNmYtMmJhMS00YTk5LWI3MDAtZmZhZTM0YzFlYjAxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR3,0,190,281_.jpg",80.0
Steven Universe: The Movie,Rebecca Sugar,Zach Callison,2019,7.7,57.1,TV-PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BYmVjY2U1N2UtMmZhOC00ODc5LWE1MjktODZjMmQyZmUyZWYwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",82.0
Where Time Began,Juan Piquer Simón,Kenneth More,1977,4.8,57.1,PG,Adventure,Family,Sci-Fi,"https://m.media-amazon.com/images/M/MV5BNzczYzlmNDEtYTBlYy00ZDNiLWFkZDUtYWVkOGFlNzRkMGFhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,4,190,281_.jpg",87.0
100% Wolf,Alexs Stadermann,Loren Gray,2020,5.6,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BYmRiYTM3ZGMtNzA1Yy00OWQ1LWE2ZGEtZTRiYzYyZDZjYWYwXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_QL75_UY281_CR3,0,190,281_.jpg",96.0
Everyone's Hero,Colin Brady,Jake T. Austin,2006,5.7,51.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BM2M3YzU1NmEtMTgxMy00YWM4LTlkOWYtMGNmNzZmODIwYTE2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,6,190,281_.jpg",87.0
Cats Don't Dance,Mark Dindal,Scott Bakula,1997,6.9,62.0,G,Animation,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BNTU1ZDA5YjUtNmNhOS00Mzg3LTgwYjMtYWIzZjFhZDY5OGNlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY281_CR0,0,190,281_.jpg",75.0
Tarzan,Reinhard Klooss,Kellan Lutz,2013,4.8,57.1,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BMTQyODEwMTM2Nl5BMl5BanBnXkFtZTgwMTg1MTA3MDE@._V1_QL75_UY281_CR1,0,190,281_.jpg",94.0
The Magician's Elephant,Wendy Rogers,Noah Jupe,2023,6.6,53.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BOGNkNWY3NmMtMDQ3NS00NWUzLWExYTMtMzFmZDg1ZWNiMTg0XkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UY281_CR18,0,190,281_.jpg",99.0
Stand by Me Doraemon 2,Ryuichi Yagi,Bakarhythm,2020,7.5,57.1,Not Rated,Animation,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BMzQ2MzJmZGMtZjhmNS00MGUyLWJjOGMtYzVmMTg4OTA2YzZkXkEyXkFqcGdeQXVyMTEwMjgyMzIz._V1_QL75_UY281_CR5,0,190,281_.jpg",96.0
Nadanna Sambhavam,Vishnu Narayan,Biju Menon,2024,7.3,57.1,PG,Drama,Family,Thriller,"https://m.media-amazon.com/images/M/MV5BODI1YjFjNzYtOWQ3NS00NWFlLTg1OWEtNzdhNTlmMWM2ZTBjXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UY281_CR19,0,190,281_.jpg",100.0
Life with Father,Michael Curtiz,William Powell,1947,7.1,73.0,Approved,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BNDkxOGQxOWMtMTZjMS00MjhiLTkyN2MtZTZiYzI1NWUzMzViXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,1,190,281_.jpg",118.0
I Believe,Juergen Peretzki,Rowan Smyth,2017,5.6,57.1,G,Drama,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BMGQ2YmQ1ZGYtNzNiNi00MGM0LTk2ZWItMDdlYjg3MzAyN2VkXkEyXkFqcGdeQXVyMTQwMjU0NQ@@._V1_QL75_UY281_CR6,0,190,281_.jpg",89.0
Spirit Untamed,Elaine Bogan,Isabela Merced,2021,5.5,49.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMDVlZTEwMTItNmE4Zi00ZGFhLWI4NjgtMDdiZTA5NDdmNWYyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",88.0
Godzilla vs. Mechagodzilla,Jun Fukuda,Masaaki Daimon,1974,6.2,57.1,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BMmNjMWQ1MmItNTQ5OC00ZmNiLTgyYmItMzYyZmViZGI0Y2VjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR4,0,190,281_.jpg",84.0
Hotel for Dogs,Thor Freudenthal,Emma Roberts,2009,5.5,51.0,PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BMTI5NjkxOTE5MF5BMl5BanBnXkFtZTcwMTcxNTAwMg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
The Adventures of Rocky & Bullwinkle,Des McAnuff,Robert De Niro,2000,4.3,36.0,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BNWNiYmIwNjItNTYzNC00NzQyLTlkOTEtM2M4NDg4NTQxYmMzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",92.0
Friendly Persuasion,William Wyler,Gary Cooper,1956,7.3,57.1,Approved,Drama,Family,Romance,"https://m.media-amazon.com/images/M/MV5BNDZhYjVhMDYtYTFhMy00YmExLWJhZDAtZjMxNDZkNGQ1MDg0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,4,190,281_.jpg",137.0
